# tzdata 2026b zone.tab, public domain: ISO 6709 coordinates, then the zone. Comments stripped.
+4230+00131	Europe/Andorra
+2518+05518	Asia/Dubai
+3431+06912	Asia/Kabul
+1703-06148	America/Antigua
+1812-06304	America/Anguilla
+4120+01950	Europe/Tirane
+4011+04430	Asia/Yerevan
-0848+01314	Africa/Luanda
-7750+16636	Antarctica/McMurdo
-6617+11031	Antarctica/Casey
-6835+07758	Antarctica/Davis
-6640+14001	Antarctica/DumontDUrville
-6736+06253	Antarctica/Mawson
-6448-06406	Antarctica/Palmer
-6734-06808	Antarctica/Rothera
-690022+0393524	Antarctica/Syowa
-720041+0023206	Antarctica/Troll
-7824+10654	Antarctica/Vostok
-3436-05827	America/Argentina/Buenos_Aires
-3124-06411	America/Argentina/Cordoba
-2447-06525	America/Argentina/Salta
-2411-06518	America/Argentina/Jujuy
-2649-06513	America/Argentina/Tucuman
-2828-06547	America/Argentina/Catamarca
-2926-06651	America/Argentina/La_Rioja
-3132-06831	America/Argentina/San_Juan
-3253-06849	America/Argentina/Mendoza
-3319-06621	America/Argentina/San_Luis
-5138-06913	America/Argentina/Rio_Gallegos
-5448-06818	America/Argentina/Ushuaia
-1416-17042	Pacific/Pago_Pago
+4813+01620	Europe/Vienna
-3133+15905	Australia/Lord_Howe
-5430+15857	Antarctica/Macquarie
-4253+14719	Australia/Hobart
-3749+14458	Australia/Melbourne
-3352+15113	Australia/Sydney
-3157+14127	Australia/Broken_Hill
-2728+15302	Australia/Brisbane
-2016+14900	Australia/Lindeman
-3455+13835	Australia/Adelaide
-1228+13050	Australia/Darwin
-3157+11551	Australia/Perth
-3143+12852	Australia/Eucla
+1230-06958	America/Aruba
+6006+01957	Europe/Mariehamn
+4023+04951	Asia/Baku
+4352+01825	Europe/Sarajevo
+1306-05937	America/Barbados
+2343+09025	Asia/Dhaka
+5050+00420	Europe/Brussels
+1222-00131	Africa/Ouagadougou
+4241+02319	Europe/Sofia
+2623+05035	Asia/Bahrain
-0323+02922	Africa/Bujumbura
+0629+00237	Africa/Porto-Novo
+1753-06251	America/St_Barthelemy
+3217-06446	Atlantic/Bermuda
+0456+11455	Asia/Brunei
-1630-06809	America/La_Paz
+120903-0681636	America/Kralendijk
-0351-03225	America/Noronha
-0127-04829	America/Belem
-0343-03830	America/Fortaleza
-0803-03454	America/Recife
-0712-04812	America/Araguaina
-0940-03543	America/Maceio
-1259-03831	America/Bahia
-2332-04637	America/Sao_Paulo
-2027-05437	America/Campo_Grande
-1535-05605	America/Cuiaba
-0226-05452	America/Santarem
-0846-06354	America/Porto_Velho
+0249-06040	America/Boa_Vista
-0308-06001	America/Manaus
-0640-06952	America/Eirunepe
-0958-06748	America/Rio_Branco
+2505-07721	America/Nassau
+2728+08939	Asia/Thimphu
-2439+02555	Africa/Gaborone
+5354+02734	Europe/Minsk
+1730-08812	America/Belize
+4734-05243	America/St_Johns
+4439-06336	America/Halifax
+4612-05957	America/Glace_Bay
+4606-06447	America/Moncton
+5320-06025	America/Goose_Bay
+5125-05707	America/Blanc-Sablon
+4339-07923	America/Toronto
+6344-06828	America/Iqaluit
+484531-0913718	America/Atikokan
+4953-09709	America/Winnipeg
+744144-0944945	America/Resolute
+624900-0920459	America/Rankin_Inlet
+5024-10439	America/Regina
+5017-10750	America/Swift_Current
+5333-11328	America/Edmonton
+690650-1050310	America/Cambridge_Bay
+682059-1334300	America/Inuvik
+4916-12307	America/Vancouver
+4906-11631	America/Creston
+5546-12014	America/Dawson_Creek
+5848-12242	America/Fort_Nelson
+6043-13503	America/Whitehorse
+6404-13925	America/Dawson
-1210+09655	Indian/Cocos
-0418+01518	Africa/Kinshasa
-1140+02728	Africa/Lubumbashi
+0422+01835	Africa/Bangui
-0416+01517	Africa/Brazzaville
+4723+00832	Europe/Zurich
+0519-00402	Africa/Abidjan
-2114-15946	Pacific/Rarotonga
-3327-07040	America/Santiago
-4534-07204	America/Coyhaique
-5309-07055	America/Punta_Arenas
-2709-10926	Pacific/Easter
+0403+00942	Africa/Douala
+3114+12128	Asia/Shanghai
+4348+08735	Asia/Urumqi
+0436-07405	America/Bogota
+0956-08405	America/Costa_Rica
+2308-08222	America/Havana
+1455-02331	Atlantic/Cape_Verde
+1211-06900	America/Curacao
-1025+10543	Indian/Christmas
+3510+03322	Asia/Nicosia
+3507+03357	Asia/Famagusta
+5005+01426	Europe/Prague
+5230+01322	Europe/Berlin
+4742+00841	Europe/Busingen
+1136+04309	Africa/Djibouti
+5540+01235	Europe/Copenhagen
+1518-06124	America/Dominica
+1828-06954	America/Santo_Domingo
+3647+00303	Africa/Algiers
-0210-07950	America/Guayaquil
-0054-08936	Pacific/Galapagos
+5925+02445	Europe/Tallinn
+3003+03115	Africa/Cairo
+2709-01312	Africa/El_Aaiun
+1520+03853	Africa/Asmara
+4024-00341	Europe/Madrid
+3553-00519	Africa/Ceuta
+2806-01524	Atlantic/Canary
+0902+03842	Africa/Addis_Ababa
+6010+02458	Europe/Helsinki
-1808+17825	Pacific/Fiji
-5142-05751	Atlantic/Stanley
+0725+15147	Pacific/Chuuk
+0658+15813	Pacific/Pohnpei
+0519+16259	Pacific/Kosrae
+6201-00646	Atlantic/Faroe
+4852+00220	Europe/Paris
+0023+00927	Africa/Libreville
+513030-0000731	Europe/London
+1203-06145	America/Grenada
+4143+04449	Asia/Tbilisi
+0456-05220	America/Cayenne
+492717-0023210	Europe/Guernsey
+0533-00013	Africa/Accra
+3608-00521	Europe/Gibraltar
+6411-05144	America/Nuuk
+7646-01840	America/Danmarkshavn
+7029-02158	America/Scoresbysund
+7634-06847	America/Thule
+1328-01639	Africa/Banjul
+0931-01343	Africa/Conakry
+1614-06132	America/Guadeloupe
+0345+00847	Africa/Malabo
+3758+02343	Europe/Athens
-5416-03632	Atlantic/South_Georgia
+1438-09031	America/Guatemala
+1328+14445	Pacific/Guam
+1151-01535	Africa/Bissau
+0648-05810	America/Guyana
+2217+11409	Asia/Hong_Kong
+1406-08713	America/Tegucigalpa
+4548+01558	Europe/Zagreb
+1832-07220	America/Port-au-Prince
+4730+01905	Europe/Budapest
-0610+10648	Asia/Jakarta
-0002+10920	Asia/Pontianak
-0507+11924	Asia/Makassar
-0232+14042	Asia/Jayapura
+5320-00615	Europe/Dublin
+314650+0351326	Asia/Jerusalem
+5409-00428	Europe/Isle_of_Man
+2232+08822	Asia/Kolkata
-0720+07225	Indian/Chagos
+3321+04425	Asia/Baghdad
+3540+05126	Asia/Tehran
+6409-02151	Atlantic/Reykjavik
+4154+01229	Europe/Rome
+491101-0020624	Europe/Jersey
+175805-0764736	America/Jamaica
+3157+03556	Asia/Amman
+353916+1394441	Asia/Tokyo
-0117+03649	Africa/Nairobi
+4254+07436	Asia/Bishkek
+1133+10455	Asia/Phnom_Penh
+0125+17300	Pacific/Tarawa
-0247-17143	Pacific/Kanton
+0152-15720	Pacific/Kiritimati
-1141+04316	Indian/Comoro
+1718-06243	America/St_Kitts
+3901+12545	Asia/Pyongyang
+3733+12658	Asia/Seoul
+2920+04759	Asia/Kuwait
+1918-08123	America/Cayman
+4315+07657	Asia/Almaty
+4448+06528	Asia/Qyzylorda
+5312+06337	Asia/Qostanay
+5017+05710	Asia/Aqtobe
+4431+05016	Asia/Aqtau
+4707+05156	Asia/Atyrau
+5113+05121	Asia/Oral
+1758+10236	Asia/Vientiane
+3353+03530	Asia/Beirut
+1401-06100	America/St_Lucia
+4709+00931	Europe/Vaduz
+0656+07951	Asia/Colombo
+0618-01047	Africa/Monrovia
-2928+02730	Africa/Maseru
+5441+02519	Europe/Vilnius
+4936+00609	Europe/Luxembourg
+5657+02406	Europe/Riga
+3254+01311	Africa/Tripoli
+3339-00735	Africa/Casablanca
+4342+00723	Europe/Monaco
+4700+02850	Europe/Chisinau
+4226+01916	Europe/Podgorica
+1804-06305	America/Marigot
-1855+04731	Indian/Antananarivo
+0709+17112	Pacific/Majuro
+0905+16720	Pacific/Kwajalein
+4159+02126	Europe/Skopje
+1239-00800	Africa/Bamako
+1647+09610	Asia/Yangon
+4755+10653	Asia/Ulaanbaatar
+4801+09139	Asia/Hovd
+221150+1133230	Asia/Macau
+1512+14545	Pacific/Saipan
+1436-06105	America/Martinique
+1806-01557	Africa/Nouakchott
+1643-06213	America/Montserrat
+3554+01431	Europe/Malta
-2010+05730	Indian/Mauritius
+0410+07330	Indian/Maldives
-1547+03500	Africa/Blantyre
+1924-09909	America/Mexico_City
+2105-08646	America/Cancun
+2058-08937	America/Merida
+2540-10019	America/Monterrey
+2550-09730	America/Matamoros
+2838-10605	America/Chihuahua
+3144-10629	America/Ciudad_Juarez
+2934-10425	America/Ojinaga
+2313-10625	America/Mazatlan
+2048-10515	America/Bahia_Banderas
+2904-11058	America/Hermosillo
+3232-11701	America/Tijuana
+0310+10142	Asia/Kuala_Lumpur
+0133+11020	Asia/Kuching
-2558+03235	Africa/Maputo
-2234+01706	Africa/Windhoek
-2216+16627	Pacific/Noumea
+1331+00207	Africa/Niamey
-2903+16758	Pacific/Norfolk
+0627+00324	Africa/Lagos
+1209-08617	America/Managua
+5222+00454	Europe/Amsterdam
+5955+01045	Europe/Oslo
+2743+08519	Asia/Kathmandu
-0031+16655	Pacific/Nauru
-1901-16955	Pacific/Niue
-3652+17446	Pacific/Auckland
-4357-17633	Pacific/Chatham
+2336+05835	Asia/Muscat
+0858-07932	America/Panama
-1203-07703	America/Lima
-1732-14934	Pacific/Tahiti
-0900-13930	Pacific/Marquesas
-2308-13457	Pacific/Gambier
-0930+14710	Pacific/Port_Moresby
-0613+15534	Pacific/Bougainville
+143512+1205804	Asia/Manila
+2452+06703	Asia/Karachi
+5215+02100	Europe/Warsaw
+4703-05620	America/Miquelon
-2504-13005	Pacific/Pitcairn
+182806-0660622	America/Puerto_Rico
+3130+03428	Asia/Gaza
+313200+0350542	Asia/Hebron
+3843-00908	Europe/Lisbon
+3238-01654	Atlantic/Madeira
+3744-02540	Atlantic/Azores
+0720+13429	Pacific/Palau
-2516-05740	America/Asuncion
+2517+05132	Asia/Qatar
-2052+05528	Indian/Reunion
+4426+02606	Europe/Bucharest
+4450+02030	Europe/Belgrade
